date, val1, val2
2012-05-21,1.8658024666e+07,9.7172880154e+06
2012-05-22,3.0798344965e+07,2.0638954168e+07
2012-05-23,3.8829131192e+07,1.8632305228e+07
2012-05-24,5.4191306809e+07,1.5408381838e+07
2012-05-25,3.7992082914e+07,1.6643561220e+07
2012-05-26,5.1828725202e+07,1.9521672950e+07
2012-05-27,2.9009498101e+06,2.5112981626e+06
2012-05-28,1.2379595286e+07,3.3155841010e+06
2012-05-29,2.0164350440e+07,2.0703459559e+07
2012-05-30,3.5501538664e+07,2.6814211068e+07
2012-05-31,3.3582271225e+07,2.1148034424e+07
2012-06-01,9.2805133805e+07,3.4410499977e+07
2012-06-02,4.2206745495e+07,2.4663770668e+07
2012-06-03,1.5484730881e+07,2.8976925104e+07
2012-06-04,5.5406067676e+06,5.1816048982e+06
2012-06-05,5.6730860999e+07,3.5692832854e+07
2012-06-06,6.4558005005e+07,5.9042183304e+07
2012-06-07,4.5797000726e+07,1.7780467382e+07
2012-06-08,3.9607868934e+07,1.9486563164e+07
2012-06-09,2.5827209081e+07,1.0163852087e+07
2012-06-10,6.6906992246e+06,6.7880929432e+06
2012-06-11,1.5698932858e+07,6.4712161829e+06
2012-06-12,4.2964714816e+07,3.5184776958e+07
2012-02-03,3.1273165657e+07,1.8713370837e+07
2012-02-04,2.5396543142e+07,2.0850212470e+07
2012-02-05,1.4781970751e+07,4.4790855612e+06
2012-02-06,6.0824803414e+06,4.4096012343e+06
2012-02-07,3.5584002386e+07,1.7153904346e+07
2012-02-08,2.7875626799e+07,1.5060555285e+07
2012-02-09,2.9744926692e+07,2.0239295148e+07
2012-02-10,3.3994783690e+07,2.0793771917e+07
2012-02-11,4.7895912905e+07,2.8161723398e+07
2012-02-12,1.9595559793e+07,7.3049171122e+06
2012-02-13,4.6370505088e+06,3.0719064610e+06
2012-02-14,3.3312742372e+07,2.3103314773e+07
2012-02-15,3.7244488871e+07,2.7128533871e+07
2012-02-16,4.0646986789e+07,2.3502155974e+07
2012-02-17,4.4084470882e+07,2.8535654251e+07
2012-02-18,4.1026852140e+07,3.3229620338e+07
2012-02-19,9.1790224730e+06,5.0962255950e+06
2012-02-20,6.8839516475e+06,3.5228833701e+06
2012-02-21,3.9700648580e+07,2.6168316283e+07
2012-02-22,4.9490664011e+07,2.8105100848e+07
2012-02-23,3.4592920007e+07,1.9409438411e+07
2012-02-24,5.2773930192e+07,3.1503490469e+07
2012-02-25,5.1520974130e+07,2.1033891083e+07
2012-02-26,8.0586010390e+07,1.2209830228e+07
2012-02-27,3.1819211835e+07,7.0976728550e+06
2012-02-28,3.4979499596e+07,2.2064727713e+07
